[16, 11, 7, 7, 1, 12, 3, 9, 2, 5]
[11, 16, 7, 7, 1, 12, 3, 9, 2, 5]
[7, 11, 16, 7, 1, 12, 3, 9, 2, 5]
[7, 11, 16, 1, 7, 12, 3, 9, 2, 5]
[1, 7, 7, 11, 16, 12, 3, 9, 2, 5]
[1, 7, 7, 11, 16, 3, 12, 9, 2, 5]
[1, 7, 7, 11, 16, 3, 9, 12, 2, 5]
[1, 7, 7, 11, 16, 3, 9, 12, 2, 5]
[1, 7, 7, 11, 16, 2, 3, 5, 9, 12]
[1, 2, 3, 5, 7, 7, 9, 11, 12, 16]
[1, 2, 3, 5, 7, 7, 9, 11, 12, 16]
Die benötigte Zeit betraegt: 2367218.0 Nanosekunden
[3, 16, 69, 33, 27, 12, 93, 40, 82, 24]
[3, 16, 69, 33, 27, 12, 93, 40, 82, 24]
[3, 16, 69, 33, 27, 12, 93, 40, 82, 24]
[3, 16, 69, 27, 33, 12, 93, 40, 82, 24]
[3, 16, 27, 33, 69, 12, 93, 40, 82, 24]
[3, 16, 27, 33, 69, 12, 93, 40, 82, 24]
[3, 16, 27, 33, 69, 12, 40, 93, 82, 24]
[3, 16, 27, 33, 69, 12, 40, 93, 24, 82]
[3, 16, 27, 33, 69, 12, 24, 40, 82, 93]
[3, 12, 16, 24, 27, 33, 40, 69, 82, 93]
[3, 12, 16, 24, 27, 33, 40, 69, 82, 93]
Die benötigte Zeit betraegt: 508889.0 Nanosekunden
